"Titre","Artiste","Spotify URI"
"Be Alright","Dean Lewis","spotify:track:5qrSlOut2rNAWv3ubArkNy"
"Old Town Road","Lil Nas X","spotify:track:0F7FA14euOIX8KcbEturGH"
"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber, Daniel Caesar, GIVĒON","spotify:track:4iJyoBOLtHqaGxP12qzhQI"
"If the World Was Ending (feat. Julia Michaels)","JP Saxe, Julia Michaels","spotify:track:4bp5G6x1SXMQW4X9DbCCCp"
"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X, Jack Harlow","spotify:track:5Z9KJZvQzH6PFmb8SNkxuk"
"no tears left to cry","Ariana Grande","spotify:track:2qT1uLXPVPzGgFOx4jtEuo"
"Paint The Town Red","Doja Cat","spotify:track:56y1jOTK0XSvJzVv9vHQBK"
"Hotline Bling","Drake","spotify:track:0wwPcA6wtMf6HUMpIRdeP7"
"Man I Need","Olivia Dean","spotify:track:1qbmS6ep2hbBRaEZFpn7BX"
"Heartbreak Anniversary","GIVĒON","spotify:track:3FAJ6O0NOHQV8Mc5Ri6ENp"
"changes","XXXTENTACION","spotify:track:7AFASza1mXqntmGtbxXprO"
"Supermarket Flowers","Ed Sheeran","spotify:track:4VuS959DSpr82t3qBqCrWG"
"God's Plan","Drake","spotify:track:6DCZcSspjsKoFjzjrWoCdn"
"Issues","Julia Michaels","spotify:track:7vu0JkJh0ldukEYbTVcqd0"
"Heal the World","Michael Jackson","spotify:track:7woW97CfcWaKtuC6W5BP2K"
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","Rudimental, Jess Glynne, Macklemore, Dan Caplen","spotify:track:20ZP3Om9DvDazXrNUC7WM2"
"Intentions (feat. Quavo)","Justin Bieber, Quavo","spotify:track:4umIPjkehX1r7uhmGvXiSV"
"Stuck with U (with Justin Bieber)","Ariana Grande, Justin Bieber","spotify:track:4HBZA5flZLE435QTztThqH"
"7 Years","Lukas Graham","spotify:track:5kqIPrATaCc2LqxVWzQGbk"
"Let Alone The One You Love","Olivia Dean","spotify:track:3Vd4fHzwS6pBS3muymjiDi"
"I'll Be There","Jess Glynne","spotify:track:083Qf6hn6sFL6xiOHlZUyn"
"luther (with sza)","Kendrick Lamar, SZA","spotify:track:45J4avUb9Ni0bnETYaYFVJ"
"Let Her Go (feat. Ed Sheeran) - Anniversary Edition","Passenger, Ed Sheeran","spotify:track:1nHKI4L5pWrN5CUvW07nHP"
"La fille du sud","Vianney","spotify:track:52MpEovOP5JFkgcYXZlsYm"
"Dumbo","Vianney","spotify:track:1rv2GsrtNqhDhRzokBeCnS"
